NAME,median_household_income,median_property_value,population_below_poverty,total_population,poverty_universe,per_capita_income,median_gross_rent,unemployed,labor_force,bachelors_degree,education_universe,state,county,tract,GEOID,poverty_rate,unemployment_rate,pct_bachelors
Census Tract 2303; Cook County; Illinois,68229,512800,244,967,967,25427,1467,7,487,59,505,17,031,230300,17031230300,0.25232678386763185,0.014373716632443531,0.11683168316831684
Census Tract 2304; Cook County; Illinois,104050,419600,401,2122,2122,38436,1481,14,1119,416,1478,17,031,230400,17031230400,0.18897266729500473,0.012511170688114389,0.2814614343707713
Census Tract 2305; Cook County; Illinois,48371,376100,947,3673,3673,22442,988,61,1606,202,2319,17,031,230500,17031230500,0.2578273890552682,0.03798256537982565,0.08710651142733937
Census Tract 2306; Cook County; Illinois,59351,283900,1676,8582,8461,18308,1333,597,3896,419,4713,17,031,230600,17031230600,0.1980853327029902,0.15323408624229978,0.08890303416083174
Census Tract 2307; Cook County; Illinois,36820,358900,2230,5345,5284,23766,1504,323,2538,394,3046,17,031,230700,17031230700,0.42202876608629825,0.1272655634357762,0.1293499671700591
Census Tract 2308; Cook County; Illinois,65648,335700,146,993,991,30614,1446,41,506,161,810,17,031,230800,17031230800,0.14732593340060546,0.08102766798418973,0.19876543209876543
Census Tract 2309; Cook County; Illinois,71224,455300,1184,4792,4770,38851,1616,349,2886,887,3739,17,031,230900,17031230900,0.2482180293501048,0.12092862092862093,0.23722920566996522
Census Tract 2311; Cook County; Illinois,60859,293100,156,1248,1248,36549,1284,30,650,91,847,17,031,231100,17031231100,0.125,0.046153846153846156,0.10743801652892562
Census Tract 2312; Cook County; Illinois,40122,230100,2740,6098,6070,16562,1541,330,2213,236,3691,17,031,231200,17031231200,0.4514003294892916,0.149118843199277,0.06393931183960987
Census Tract 2315; Cook County; Illinois,30637,307300,1585,6045,6045,23069,1084,284,2398,459,3635,17,031,231500,17031231500,0.26220016542597185,0.11843202668890743,0.12627235213204951
Census Tract 2402; Cook County; Illinois,168862,788500,141,1743,1709,99158,1695,19,1145,702,1507,17,031,240200,17031240200,0.08250438853130486,0.016593886462882096,0.46582614465826144
Census Tract 2403; Cook County; Illinois,171528,903800,28,1299,1299,145927,2224,6,826,417,996,17,031,240300,17031240300,0.02155504234026174,0.007263922518159807,0.4186746987951807
Census Tract 2405; Cook County; Illinois,184580,545600,13,2329,2329,129229,2826,62,1982,1282,2020,17,031,240500,17031240500,0.0055817947617003,0.03128153380423814,0.6346534653465347
Census Tract 2406; Cook County; Illinois,170625,602600,161,1739,1714,101192,2344,17,1288,496,1245,17,031,240600,17031240600,0.09393232205367562,0.013198757763975156,0.39839357429718875
Census Tract 2407; Cook County; Illinois,95921,581300,285,1509,1509,81375,1597,13,976,612,1135,17,031,240700,17031240700,0.18886679920477137,0.01331967213114754,0.5392070484581498
Census Tract 2408; Cook County; Illinois,79643,663900,201,1583,1568,57586,1543,36,1074,400,1165,17,031,240800,17031240800,0.12818877551020408,0.0335195530726257,0.34334763948497854
Census Tract 2409; Cook County; Illinois,100854,460800,103,1247,1242,56888,1736,18,862,464,999,17,031,240900,17031240900,0.08293075684380032,0.02088167053364269,0.4644644644644645
Census Tract 2410; Cook County; Illinois,98304,411800,306,1948,1817,65112,1810,121,1438,677,1645,17,031,241000,17031241000,0.16840946615299945,0.08414464534075104,0.4115501519756839
Census Tract 2411; Cook County; Illinois,101016,516400,486,3498,3480,67014,1926,164,2569,1263,2830,17,031,241100,17031241100,0.1396551724137931,0.06383806928766057,0.4462897526501767
Census Tract 2412; Cook County; Illinois,151891,575200,189,1692,1691,110888,1629,56,1303,619,1397,17,031,241200,17031241200,0.11176818450620934,0.042977743668457406,0.443092340730136
Census Tract 2413; Cook County; Illinois,173929,616200,166,1844,1736,111321,2329,28,1264,668,1388,17,031,241300,17031241300,0.0956221198156682,0.022151898734177215,0.4812680115273775
Census Tract 2414; Cook County; Illinois,186537,698300,273,5693,5693,119183,2539,172,4524,2357,4497,17,031,241400,17031241400,0.047953627261549274,0.03801945181255526,0.5241271959083834
Census Tract 2415; Cook County; Illinois,190000,718200,114,2769,2769,127754,2424,60,2332,1218,2272,17,031,241500,17031241500,0.041170097508125676,0.025728987993138937,0.5360915492957746
Census Tract 2416; Cook County; Illinois,117027,545800,514,3779,3779,78286,2150,180,2904,1544,2916,17,031,241600,17031241600,0.13601481873511512,0.06198347107438017,0.5294924554183813
Census Tract 2420; Cook County; Illinois,137333,611200,307,4575,4564,88277,1713,183,3365,1760,3955,17,031,242000,17031242000,0.06726555652936021,0.05438335809806835,0.4450063211125158
Census Tract 2421; Cook County; Illinois,219385,646800,223,3792,3792,142691,2147,80,3092,1624,3289,17,031,242100,17031242100,0.058808016877637134,0.0258732212160414,0.4937671024627546
Census Tract 2422; Cook County; Illinois,162976,679200,144,4182,4182,97592,2265,15,3382,1999,3584,17,031,242200,17031242200,0.03443328550932568,0.004435245416913069,0.5577566964285714
Census Tract 2423; Cook County; Illinois,116094,545600,308,3208,3208,87227,1997,146,2408,1181,2667,17,031,242300,17031242300,0.09600997506234414,0.0606312292358804,0.442819647544057
Census Tract 2424; Cook County; Illinois,110795,628300,271,3084,3048,71733,1921,68,2425,1115,2487,17,031,242400,17031242400,0.08891076115485565,0.028041237113402062,0.44833132287897065
Census Tract 2425; Cook County; Illinois,97438,601400,333,3394,3344,63172,1857,55,2673,1217,2847,17,031,242500,17031242500,0.09958133971291866,0.0205761316872428,0.4274675096592905
Census Tract 2426; Cook County; Illinois,96607,582400,572,5888,5888,62177,1751,286,3572,1250,4347,17,031,242600,17031242600,0.09714673913043478,0.08006718924972005,0.28755463538072235
Census Tract 2427; Cook County; Illinois,82351,554300,282,1880,1880,51088,1600,27,1178,503,1384,17,031,242700,17031242700,0.15,0.022920203735144314,0.3634393063583815
Census Tract 2428; Cook County; Illinois,180750,671900,84,1575,1575,110212,1953,21,1125,501,1240,17,031,242800,17031242800,0.05333333333333334,0.018666666666666668,0.40403225806451615
Census Tract 2429; Cook County; Illinois,141645,492700,101,2242,2205,79517,1819,53,1485,578,1647,17,031,242900,17031242900,0.04580498866213152,0.03569023569023569,0.3509411050394657
Census Tract 2430; Cook County; Illinois,149280,479700,105,2364,2364,73819,2081,34,1734,891,1937,17,031,243000,17031243000,0.044416243654822336,0.0196078431372549,0.4599896747547754
Census Tract 2431; Cook County; Illinois,125000,780600,47,1912,1912,109887,1741,57,1444,591,1574,17,031,243100,17031243100,0.024581589958158997,0.039473684210526314,0.3754764930114358
Census Tract 2432; Cook County; Illinois,123750,665400,240,2587,2574,87291,2189,75,1960,672,1896,17,031,243200,17031243200,0.09324009324009325,0.03826530612244898,0.35443037974683544
Census Tract 2433; Cook County; Illinois,128000,664600,131,2340,2340,106901,2146,63,2022,1109,2035,17,031,243300,17031243300,0.055982905982905985,0.03115727002967359,0.544963144963145
Census Tract 2434; Cook County; Illinois,125278,462700,366,2972,2972,84738,1899,169,2348,1319,2594,17,031,243400,17031243400,0.12314939434724091,0.07197614991482112,0.5084811102544333
Census Tract 2435; Cook County; Illinois,157283,601300,289,4824,4824,117730,2542,92,3877,1789,3826,17,031,243500,17031243500,0.059908789386401325,0.0237296879030178,0.46759017250392054
Census Tract 2502; Cook County; Illinois,45956,276500,646,2610,2610,19105,1020,139,1086,128,1790,17,031,250200,17031250200,0.2475095785440613,0.1279926335174954,0.07150837988826815
Census Tract 2503; Cook County; Illinois,60573,299100,1126,5144,5144,23736,1256,417,2592,265,3200,17,031,250300,17031250300,0.21889580093312597,0.16087962962962962,0.0828125
Census Tract 2504; Cook County; Illinois,47723,257300,907,5733,5733,24616,1392,367,2674,356,3987,17,031,250400,17031250400,0.15820687249258678,0.13724756918474196,0.08929019312766491
Census Tract 2505; Cook County; Illinois,102237,333100,723,7509,7509,45969,1514,172,4134,1262,5403,17,031,250500,17031250500,0.09628445864962046,0.04160619254958878,0.23357394040347954
Census Tract 2506; Cook County; Illinois,-666666666,265600,1000,3887,3876,32183,999,203,1791,272,2803,17,031,250600,17031250600,0.2579979360165119,0.11334450027917364,0.09703888690688547
Census Tract 2507; Cook County; Illinois,50858,239300,1448,6676,6458,22584,1249,582,3198,524,4132,17,031,250700,17031250700,0.22421802415608547,0.18198874296435272,0.12681510164569215
Census Tract 2508; Cook County; Illinois,77414,268500,543,2742,2742,24341,1258,106,1308,124,1773,17,031,250800,17031250800,0.19803063457330417,0.08103975535168195,0.06993795826283136
Census Tract 2510; Cook County; Illinois,40625,242600,375,1196,1196,19921,1143,101,566,138,732,17,031,251000,17031251000,0.31354515050167225,0.1784452296819788,0.1885245901639344
Census Tract 2511; Cook County; Illinois,43370,239400,1374,4521,4520,24878,1179,323,2034,227,3049,17,031,251100,17031251100,0.30398230088495576,0.15880039331366766,0.07445063955395212
Census Tract 2512; Cook County; Illinois,60064,242200,644,4314,4275,27047,972,214,2029,173,2945,17,031,251200,17031251200,0.15064327485380116,0.1054706752094628,0.05874363327674024
Census Tract 2513; Cook County; Illinois,43138,271800,1265,4515,4515,23987,1160,269,1976,377,3098,17,031,251300,17031251300,0.28017718715393136,0.1361336032388664,0.12169141381536475
Census Tract 2514; Cook County; Illinois,24160,315100,824,3170,3170,26739,988,240,1340,146,2694,17,031,251400,17031251400,0.2599369085173502,0.1791044776119403,0.054194506310319225
Census Tract 2515; Cook County; Illinois,54938,241100,1339,4489,4377,22725,1153,498,2278,265,2564,17,031,251500,17031251500,0.3059172949508796,0.218612818261633,0.10335413416536661
Census Tract 2516; Cook County; Illinois,46869,206100,791,3983,3983,17716,1238,272,1682,261,2258,17,031,251600,17031251600,0.19859402460456943,0.16171224732461356,0.11558901682905226
Census Tract 2517; Cook County; Illinois,55750,244600,355,1368,1368,45537,1308,60,589,101,928,17,031,251700,17031251700,0.2595029239766082,0.10186757215619695,0.10883620689655173
Census Tract 2518; Cook County; Illinois,34220,266300,1385,4532,4418,16367,1303,322,1987,126,3020,17,031,251800,17031251800,0.31349026708918065,0.16205334675390035,0.041721854304635764
Census Tract 2519; Cook County; Illinois,42677,233500,1148,5519,5475,24161,1003,624,3051,155,3690,17,031,251900,17031251900,0.20968036529680364,0.20452310717797442,0.04200542005420054
Census Tract 2520; Cook County; Illinois,36645,245800,1334,5643,5565,21004,1162,524,2456,290,3685,17,031,252000,17031252000,0.23971248876909254,0.21335504885993486,0.07869742198100407
Census Tract 2521.01; Cook County; Illinois,51250,244800,120,1801,1755,26163,1056,93,767,50,1392,17,031,252101,17031252101,0.06837606837606838,0.121251629726206,0.035919540229885055
Census Tract 2521.02; Cook County; Illinois,52049,197100,1265,5766,5766,21807,1319,493,2796,274,3824,17,031,252102,17031252102,0.21938952480055499,0.17632331902718168,0.07165271966527197
Census Tract 2522.01; Cook County; Illinois,49100,239900,931,3128,2787,23838,1251,421,1618,261,2346,17,031,252201,17031252201,0.3340509508432006,0.26019777503090236,0.11125319693094629
Census Tract 2522.02; Cook County; Illinois,46875,257100,1593,5129,5109,23383,1156,387,2168,148,3076,17,031,252202,17031252202,0.3118027011156782,0.17850553505535055,0.04811443433029909
Census Tract 2601; Cook County; Illinois,15817,325500,397,1106,1106,22863,491,90,493,47,903,17,031,260100,17031260100,0.3589511754068716,0.18255578093306288,0.05204872646733112
Census Tract 2602; Cook County; Illinois,49250,162500,181,1209,1209,23371,1142,40,611,29,854,17,031,260200,17031260200,0.14971050454921422,0.06546644844517185,0.03395784543325527
Census Tract 2603; Cook County; Illinois,-666666666,242600,568,1429,1424,16585,994,87,629,23,750,17,031,260300,17031260300,0.398876404494382,0.1383147853736089,0.030666666666666665
Census Tract 2604; Cook County; Illinois,-666666666,161200,964,1511,1511,11257,1333,199,640,19,887,17,031,260400,17031260400,0.6379880873593646,0.3109375,0.02142051860202931
Census Tract 2605; Cook County; Illinois,54417,217500,549,1985,1982,23999,1493,141,961,16,1337,17,031,260500,17031260500,0.27699293642785067,0.14672216441207075,0.011967090501121914
Census Tract 2606; Cook County; Illinois,50368,189600,391,1793,1793,20971,1372,212,788,105,1146,17,031,260600,17031260600,0.2180702732849972,0.26903553299492383,0.09162303664921466
Census Tract 2607; Cook County; Illinois,67986,242600,358,1198,1198,28087,1285,61,549,140,925,17,031,260700,17031260700,0.2988313856427379,0.1111111111111111,0.15135135135135136
Census Tract 2608; Cook County; Illinois,35462,205300,231,1719,1719,21180,1312,249,899,44,1148,17,031,260800,17031260800,0.1343804537521815,0.27697441601779754,0.03832752613240418
Census Tract 2609; Cook County; Illinois,23495,245900,535,1174,1136,17939,1255,91,425,89,854,17,031,260900,17031260900,0.4709507042253521,0.21411764705882352,0.10421545667447307
Census Tract 2610; Cook County; Illinois,47708,175000,453,1972,1972,24727,1420,141,942,91,1388,17,031,261000,17031261000,0.2297160243407708,0.14968152866242038,0.06556195965417867
Census Tract 2705; Cook County; Illinois,24181,165500,816,1426,1426,15601,928,62,405,128,762,17,031,270500,17031270500,0.5722300140252454,0.15308641975308643,0.1679790026246719
Census Tract 2712; Cook County; Illinois,32905,303400,436,1299,1299,17795,1579,121,393,145,899,17,031,271200,17031271200,0.33564280215550424,0.30788804071246817,0.16129032258064516
Census Tract 2713; Cook County; Illinois,45488,414000,280,953,953,23654,833,59,574,73,618,17,031,271300,17031271300,0.2938090241343127,0.10278745644599303,0.11812297734627832
Census Tract 2714; Cook County; Illinois,41591,212500,413,1508,1508,27495,1224,116,614,193,970,17,031,271400,17031271400,0.2738726790450928,0.18892508143322476,0.19896907216494844
Census Tract 2715; Cook County; Illinois,52390,273800,358,1469,1469,24804,1418,149,673,97,974,17,031,271500,17031271500,0.24370319945541186,0.2213967310549777,0.09958932238193019
Census Tract 2718; Cook County; Illinois,90331,237500,162,1006,1006,23917,1744,54,444,41,637,17,031,271800,17031271800,0.1610337972166998,0.12162162162162163,0.06436420722135008
Census Tract 2801; Cook County; Illinois,146383,428900,121,7742,7742,163960,2450,123,6808,3010,7042,17,031,280100,17031280100,0.01562903642469646,0.018066980023501763,0.4274353876739563
Census Tract 2804; Cook County; Illinois,40699,344000,386,1508,1508,24901,986,12,707,213,1102,17,031,280400,17031280400,0.25596816976127323,0.016973125884016973,0.19328493647912887
Census Tract 2808; Cook County; Illinois,30231,370000,171,869,859,24573,1267,50,374,54,622,17,031,280800,17031280800,0.1990686845168801,0.13368983957219252,0.08681672025723473
Census Tract 2809; Cook County; Illinois,46471,351100,244,1253,1253,90052,558,36,664,250,876,17,031,280900,17031280900,0.19473264166001597,0.05421686746987952,0.2853881278538813
Census Tract 2819; Cook County; Illinois,121838,396100,745,6907,6798,98303,2103,285,5727,2419,5626,17,031,281900,17031281900,0.10959105619299794,0.04976427448926139,0.4299680056878777
Census Tract 2827; Cook County; Illinois,103942,319200,310,2239,2214,59072,2141,97,1465,380,1578,17,031,282700,17031282700,0.14001806684733514,0.06621160409556313,0.24081115335868186
Census Tract 2828; Cook County; Illinois,110313,404800,163,1727,1727,51662,1769,54,1004,270,1195,17,031,282800,17031282800,0.09438332368268675,0.053784860557768925,0.22594142259414227
Census Tract 2831; Cook County; Illinois,-666666666,465800,718,2560,2560,39162,1896,172,1606,659,2021,17,031,283100,17031283100,0.28046875,0.10709838107098381,0.3260761999010391
Census Tract 2832; Cook County; Illinois,66404,441000,145,1687,1687,53234,1371,48,1067,461,1088,17,031,283200,17031283200,0.08595139300533491,0.04498594189315839,0.42371323529411764
Census Tract 2838; Cook County; Illinois,85972,398300,883,3515,3515,53322,1256,160,2179,509,2632,17,031,283800,17031283800,0.2512091038406828,0.07342817806333181,0.19338905775075987
Census Tract 2909; Cook County; Illinois,57753,222800,1462,4870,4870,16945,1175,618,2199,210,2789,17,031,290900,17031290900,0.3002053388090349,0.2810368349249659,0.07529580494801004
Census Tract 2912; Cook County; Illinois,-666666666,243900,1167,2225,2225,17836,1134,48,745,163,1203,17,031,291200,17031291200,0.5244943820224719,0.06442953020134229,0.13549459684123025
Census Tract 2916; Cook County; Illinois,118906,373900,305,1506,1506,29536,2119,90,634,88,979,17,031,291600,17031291600,0.20252324037184594,0.14195583596214512,0.0898876404494382
Census Tract 2922; Cook County; Illinois,50547,244800,407,2658,2658,31965,1134,162,1187,133,1576,17,031,292200,17031292200,0.15312264860797592,0.13647851727042964,0.08439086294416244
Census Tract 2924; Cook County; Illinois,41733,255500,561,1916,1916,37714,1252,121,1103,170,1326,17,031,292400,17031292400,0.2927974947807933,0.10970081595648232,0.1282051282051282
Census Tract 2925; Cook County; Illinois,56283,239600,373,3310,3310,29740,1302,167,1605,379,2365,17,031,292500,17031292500,0.11268882175226586,0.10404984423676013,0.1602536997885835
Census Tract 3005; Cook County; Illinois,87721,225300,732,3355,3355,23730,1194,100,1793,341,2286,17,031,300500,17031300500,0.21818181818181817,0.05577244841048522,0.14916885389326334
Census Tract 3006; Cook County; Illinois,59097,281400,510,3260,3154,25271,1186,146,1435,273,2284,17,031,300600,17031300600,0.1616994292961319,0.10174216027874565,0.11952714535901926
Census Tract 3007; Cook County; Illinois,48435,287300,691,4329,4329,23469,863,216,2331,127,3017,17,031,300700,17031300700,0.1596211596211596,0.09266409266409266,0.04209479615512098
Census Tract 3008; Cook County; Illinois,36349,225600,1345,3764,3764,19827,1164,35,1419,252,2254,17,031,300800,17031300800,0.3573326248671626,0.02466525722339676,0.11180124223602485
Census Tract 3009; Cook County; Illinois,32378,-666666666,1891,4267,4226,18541,928,68,1701,122,2672,17,031,300900,17031300900,0.4474680548982489,0.03997648442092887,0.04565868263473054
Census Tract 3011; Cook County; Illinois,52881,219300,355,2403,2403,19987,1054,125,1160,191,1618,17,031,301100,17031301100,0.14773200166458594,0.10775862068965517,0.1180469715698393
Census Tract 3012; Cook County; Illinois,48160,255400,874,4087,4087,26217,1057,286,2640,491,2713,17,031,301200,17031301200,0.2138487888426719,0.10833333333333334,0.1809804644305197
Census Tract 3016; Cook County; Illinois,43077,233300,967,4228,4116,27593,969,176,1796,229,2990,17,031,301600,17031301600,0.23493683187560738,0.09799554565701558,0.0765886287625418
Census Tract 3017.01; Cook County; Illinois,58678,264100,981,4496,4496,26073,1104,49,2333,225,3239,17,031,301701,17031301701,0.21819395017793594,0.02100300042863266,0.06946588453226304
Census Tract 3017.02; Cook County; Illinois,76579,255000,323,3801,3684,26951,894,47,1895,219,2202,17,031,301702,17031301702,0.08767643865363735,0.024802110817941952,0.0994550408719346
Census Tract 3018.01; Cook County; Illinois,51235,277900,1017,4714,4714,17733,1116,216,1970,381,2710,17,031,301801,17031301801,0.21574034789987273,0.10964467005076142,0.14059040590405905
Census Tract 3018.02; Cook County; Illinois,32165,220600,820,2513,2513,23521,1034,112,1105,222,1775,17,031,301802,17031301802,0.3263032232391564,0.10135746606334842,0.12507042253521128
Census Tract 3018.03; Cook County; Illinois,62102,193000,361,3183,3183,27747,984,137,1535,204,2454,17,031,301803,17031301803,0.11341501727929626,0.08925081433224756,0.08312958435207823
Census Tract 3102; Cook County; Illinois,104167,408100,118,1508,1494,65896,1809,62,1190,666,1291,17,031,310200,17031310200,0.07898259705488621,0.052100840336134456,0.5158791634391944
Census Tract 3103; Cook County; Illinois,78906,503700,218,1560,1560,44835,1264,51,1049,393,1120,17,031,310300,17031310300,0.13974358974358975,0.04861773117254528,0.3508928571428571
Census Tract 3104; Cook County; Illinois,83271,378400,176,1447,1438,62893,1604,73,890,209,1024,17,031,310400,17031310400,0.12239221140472879,0.08202247191011236,0.2041015625
Census Tract 3105; Cook County; Illinois,63070,407500,232,1356,1356,37812,1288,94,983,147,1055,17,031,310500,17031310500,0.1710914454277286,0.09562563580874874,0.13933649289099526
Census Tract 3106; Cook County; Illinois,86938,369200,562,5872,5872,45300,1517,93,3611,820,4306,17,031,310600,17031310600,0.09570844686648501,0.025754638604264746,0.19043195541105434
Census Tract 3107; Cook County; Illinois,76111,423500,370,1583,1583,29892,1374,102,919,320,1034,17,031,310700,17031310700,0.2337334175615919,0.11099020674646355,0.30947775628626695
Census Tract 3108; Cook County; Illinois,69435,379700,778,4013,4013,38094,1298,294,2685,855,3015,17,031,310800,17031310800,0.19386992275105905,0.10949720670391061,0.2835820895522388
Census Tract 3109; Cook County; Illinois,84571,271200,1247,4998,4998,40927,1366,234,2760,723,3415,17,031,310900,17031310900,0.24949979991996799,0.08478260869565217,0.21171303074670572
Census Tract 3201.01; Cook County; Illinois,125862,638900,239,8972,8968,134160,2658,71,5931,2645,7693,17,031,320101,17031320101,0.026650312221231043,0.011970999831394368,0.34381905628493437
Census Tract 3201.02; Cook County; Illinois,97725,379600,669,5040,5035,83678,2270,364,3427,1766,3697,17,031,320102,17031320102,0.13286991062562065,0.10621534870148819,0.477684609142548
Census Tract 3204; Cook County; Illinois,145278,654700,294,3530,1525,55986,2301,204,2001,472,1252,17,031,320400,17031320400,0.19278688524590165,0.10194902548725637,0.3769968051118211
Census Tract 3206; Cook County; Illinois,118670,380800,835,6262,5950,87717,2475,205,4333,2408,5105,17,031,320600,17031320600,0.1403361344537815,0.04731133164089545,0.471694417238002
Census Tract 3301.01; Cook County; Illinois,171388,593500,481,4821,4821,125138,3501,120,3476,799,3964,17,031,330101,17031330101,0.09977183157021365,0.03452243958573072,0.2015640766902119
Census Tract 3301.02; Cook County; Illinois,120182,390800,337,11992,11992,87026,2545,385,8985,4709,9717,17,031,330102,17031330102,0.028102068045363575,0.04284919309961046,0.4846145929813728
Census Tract 3301.03; Cook County; Illinois,97758,364800,1306,8408,8244,82058,1902,216,5884,3362,7545,17,031,330103,17031330103,0.158418243571082,0.036709721278042146,0.44559310801855534
Census Tract 3302; Cook County; Illinois,143558,603700,339,3981,3981,100159,-666666666,97,2185,997,2950,17,031,330200,17031330200,0.08515448379804069,0.044393592677345536,0.33796610169491526
Census Tract 3403; Cook County; Illinois,53030,395000,196,1720,1720,35313,1160,45,772,311,1313,17,031,340300,17031340300,0.11395348837209303,0.05829015544041451,0.23686214775323686
Census Tract 3404; Cook County; Illinois,40583,358100,443,1702,1682,22571,1612,82,799,192,1210,17,031,340400,17031340400,0.2633769322235434,0.10262828535669587,0.15867768595041323
Census Tract 3405; Cook County; Illinois,62288,460100,455,1672,1672,54205,819,29,819,294,1458,17,031,340500,17031340500,0.27212918660287083,0.03540903540903541,0.20164609053497942
Census Tract 3406; Cook County; Illinois,21279,-666666666,809,1430,1426,11095,384,183,573,16,731,17,031,340600,17031340600,0.5673211781206171,0.3193717277486911,0.02188782489740082
Census Tract 3501; Cook County; Illinois,58295,-666666666,600,2435,2435,52939,1387,91,1422,681,1907,17,031,350100,17031350100,0.2464065708418891,0.0639943741209564,0.3571054011536445
Census Tract 3504; Cook County; Illinois,20515,-666666666,809,1457,1457,14201,577,116,547,4,780,17,031,350400,17031350400,0.5552505147563487,0.21206581352833637,0.005128205128205128
Census Tract 3510; Cook County; Illinois,61736,366900,343,4259,4259,43416,1362,340,2779,677,3248,17,031,351000,17031351000,0.08053533693355247,0.12234616768621806,0.208435960591133
Census Tract 3511; Cook County; Illinois,15921,289300,1079,2000,2000,15768,381,386,907,108,1193,17,031,351100,17031351100,0.5395,0.4255788313120176,0.09052808046940486
Census Tract 3514; Cook County; Illinois,-666666666,511000,471,1387,1387,22962,806,107,534,122,968,17,031,351400,17031351400,0.33958183129055514,0.20037453183520598,0.12603305785123967
Census Tract 3515; Cook County; Illinois,77206,422900,239,973,973,39768,1650,107,658,95,603,17,031,351500,17031351500,0.24563206577595068,0.16261398176291794,0.15754560530679934
Census Tract 3602; Cook County; Illinois,26143,272200,1062,1900,1900,15664,998,257,791,109,932,17,031,360200,17031360200,0.5589473684210526,0.324905183312263,0.11695278969957082
Census Tract 3801; Cook County; Illinois,80216,323300,371,1787,1787,68490,520,75,868,352,1543,17,031,380100,17031380100,0.2076105204252938,0.08640552995391705,0.22812702527543746
Census Tract 3802; Cook County; Illinois,17138,242600,775,1689,1689,26290,550,11,395,188,1444,17,031,380200,17031380200,0.45885139135583186,0.027848101265822784,0.13019390581717452
Census Tract 3806; Cook County; Illinois,49134,273200,1480,4952,4882,33367,1372,503,2682,617,2999,17,031,380600,17031380600,0.3031544448996313,0.18754660700969425,0.20573524508169388
Census Tract 3812; Cook County; Illinois,46407,405400,559,1952,1952,43864,1333,200,1020,382,1634,17,031,381200,17031381200,0.2863729508196721,0.19607843137254902,0.23378212974296206
Census Tract 3814; Cook County; Illinois,47931,320400,471,1579,1579,28172,1230,181,812,158,1076,17,031,381400,17031381400,0.2982900569981001,0.2229064039408867,0.14684014869888476
Census Tract 3815; Cook County; Illinois,26738,-666666666,223,669,669,30870,1013,67,297,80,502,17,031,381500,17031381500,0.3333333333333333,0.2255892255892256,0.1593625498007968
Census Tract 3817; Cook County; Illinois,-666666666,-666666666,0,0,0,-666666666,-666666666,0,0,0,0,17,031,381700,17031381700,,,
Census Tract 3818; Cook County; Illinois,43281,275000,279,1448,1423,30475,1118,140,851,256,1047,17,031,381800,17031381800,0.1960646521433591,0.1645123384253819,0.24450811843361986
Census Tract 3819; Cook County; Illinois,73750,411100,246,1324,1324,33715,-666666666,191,736,231,852,17,031,381900,17031381900,0.18580060422960726,0.2595108695652174,0.2711267605633803
Census Tract 3901; Cook County; Illinois,55893,559800,221,1887,1887,51240,989,161,897,182,1144,17,031,390100,17031390100,0.11711711711711711,0.1794871794871795,0.1590909090909091
Census Tract 3902; Cook County; Illinois,110806,386400,301,2012,2012,65175,1379,128,1198,335,1382,17,031,390200,17031390200,0.1496023856858847,0.10684474123539232,0.24240231548480462
Census Tract 3903; Cook County; Illinois,-666666666,358200,1025,2531,2396,30897,708,303,1042,274,1994,17,031,390300,17031390300,0.42779632721202004,0.2907869481765835,0.1374122367101304
Census Tract 3904; Cook County; Illinois,38507,382600,850,2499,2499,73418,1049,109,1150,281,1789,17,031,390400,17031390400,0.3401360544217687,0.09478260869565218,0.15707098937954164
Census Tract 3905; Cook County; Illinois,83938,845800,233,1753,1753,107008,1377,89,1018,217,1230,17,031,390500,17031390500,0.13291500285225327,0.08742632612966601,0.17642276422764228
Census Tract 3906; Cook County; Illinois,95542,546900,396,1898,1886,78185,1368,102,1225,368,1369,17,031,390600,17031390600,0.20996818663838812,0.08326530612244898,0.268809349890431
Census Tract 3907; Cook County; Illinois,73704,244800,1036,5837,5837,68220,1984,276,3226,945,4277,17,031,390700,17031390700,0.17748843584032895,0.08555486670799752,0.220949263502455
Census Tract 4003; Cook County; Illinois,90716,226000,159,1311,1306,39342,1425,111,863,260,1083,17,031,400300,17031400300,0.1217457886676876,0.12862108922363846,0.24007386888273316
Census Tract 4004; Cook County; Illinois,32235,171400,921,2059,2053,20415,1180,174,854,174,1116,17,031,400400,17031400400,0.4486117876278617,0.20374707259953162,0.15591397849462366
Census Tract 4005; Cook County; Illinois,38373,429500,721,2308,2308,24627,1114,214,1209,302,1389,17,031,400500,17031400500,0.3123916811091854,0.17700578990901572,0.2174226061915047
Census Tract 4008; Cook County; Illinois,23059,-666666666,1787,2909,2909,13464,840,165,1151,81,1568,17,031,400800,17031400800,0.6143004468889652,0.14335360556038226,0.051658163265306124
Census Tract 4101; Cook County; Illinois,63931,208500,324,2287,2287,57785,1824,18,1394,545,1788,17,031,410100,17031410100,0.14167031045037168,0.01291248206599713,0.3048098434004474
Census Tract 4102; Cook County; Illinois,56848,292900,266,1133,1104,59891,1472,5,777,282,773,17,031,410200,17031410200,0.24094202898550723,0.006435006435006435,0.3648124191461837
Census Tract 4105; Cook County; Illinois,65240,402600,857,2887,2864,43964,1620,99,1640,430,1908,17,031,410500,17031410500,0.299231843575419,0.060365853658536583,0.22536687631027252
Census Tract 4106; Cook County; Illinois,49475,322800,808,2600,2339,63640,1958,136,1820,351,1381,17,031,410600,17031410600,0.34544677212483965,0.07472527472527472,0.2541636495293266
