Unnamed: 0,id,permit_,permit_type,application_start_date,issue_date,street_number,street_name,work_type,work_description,subtotal_waived,total_fee,census_tract,ward,xcoordinate,ycoordinate,issue_year,issue_month,issue_day,is_solar,is_flood
612501,3098868,100857951,PERMIT - EASY PERMIT PROCESS,2020-01-10T00:00:00.000,2020-01-10T00:00:00.000,3908.0,BELL AVE,,REVISION TO PERMIT NO. 100839056 FOR ALT CODE APPROVAL TO USE SCH 40 PVC FOR ABOVE AND BELOW GRADE FOR DRAIN AND SANITARY,0.0,75.0,50500.0,47.0,1160626.4096420931,1925971.967036989,2020,1,10,0,1
612575,3099075,100858036,PERMIT - RENOVATION/ALTERATION,2020-02-05T00:00:00.000,2020-02-05T00:00:00.000,11601.0,TOUHY AVE,,"THIS IS AN INTERIOR REMODELING OF A BUILDING ORIGINALLY USED BY ENTERPRISE RENT-A-CAR AS A  CUSTOMER SERVICE OFFICE AND SALES CENTER.  THE BUILDING IS LOCATED WHERE SCHILLING ST, ZEMKE BLVD AND MANNHEIM COME TOGETHER.  THE CITY'S ONLINE ZONING MAP LIST THE ADDRESS AS 6400 N SCHILLING ST. AND A SIGN ON THE BUILDING SAYS ""BLDG 810"" THE INTERIOR WILL BE PARTLY REMODELED SO THE ENTIRE INTERIOR CAN BE USED AS A TRAINING CENTER AND OFFICES FOR THE CHICAGO DEPARTMENT OF AVIATION.THE FORMER CUSTOMER SERVICE AREA WILL BE TWO TRAINING ROOMS AND AN EXISTING CONFERENCE ROOM WILL BE DIVIDED INTO TWO NEW OFFICES. THE BREAKROOM WILL HAVE APPLIANCES, CABINETS, SINK AND COUNTERTOP REPLACED IN THE SAME LOCATIONS.  THESE REMODELED SPACES WILL HAVE NEW FLOORING, LIGHTING AND SUSPENDED CEILINGS.  THE EXISTING VESTIBULE DOORS WILL ALL BE REPLACED.  NO WORK WILL BE DONE ON THE SITE- ALL PARKING, SIDEWALKS, LIGHTING AND LANDSCAPING IS ALL EXISTING TO REMAIN WITH NO CHANGES.",0.0,1755.55,,41.0,1098098.5774643964,1945979.209781826,2020,2,5,0,1
612659,3099254,100858133,PERMIT - EASY PERMIT PROCESS,2020-01-13T00:00:00.000,2020-01-13T00:00:00.000,1100.0,POLK ST,,ALTERNATIVE CODE APPROVAL FOR # 100823393: UNDERGROUNS DRAINS SHALL BE PVC SCHEDULE 40. UNDERGROUND WATER LINE SHALL BE TYPE K COPPER. ALL ABOVE GROUND DRAINS SHALL BE BE PVC SCHEDULE 40. ABOVE WATER LINES SHALL BE TYPE M COPPER,0.0,75.0,833300.0,25.0,1169191.8435201158,1896653.5885324848,2020,1,13,0,1
612671,3099281,100858146,PERMIT - EASY PERMIT PROCESS,2020-01-13T00:00:00.000,2020-01-13T00:00:00.000,3413.0,RIDGEWAY AVE,,REVISION TO PERMIT#100838708 ALT. CODE APPROVAL:INSTALL PVC DRAINS AND VENTS UNDERGROUND AND ABOVE .,0.0,75.0,831100.0,30.0,1150826.3909845212,1922503.9217904056,2020,1,13,0,1
612682,3099301,100858157,PERMIT - EASY PERMIT PROCESS,2020-01-13T00:00:00.000,2020-01-13T00:00:00.000,3727.0,WHIPPLE ST,,REVISION TO PERMIT#100844368 ALT. CODE APPROVAL:INSTALL PVC DRAINS AND VENTS UNDERGROUND AND ABOVE,0.0,75.0,160700.0,33.0,1155426.0394881526,1924744.8185930685,2020,1,13,0,1
612688,3099316,100858163,PERMIT - EASY PERMIT PROCESS,2020-01-13T00:00:00.000,2020-01-13T00:00:00.000,3724.0,BERNARD ST,,REVISION TO PERMIT#100830704 ALT. CODE APPROVAL: INSTALL PVC DRAINS AND VENT UNDERGROUND AND ABOVE,0.0,75.0,160800.0,35.0,1152684.0173804865,1924666.2835719616,2020,1,13,0,1
612731,3099442,100858213,PERMIT - EASY PERMIT PROCESS,2020-01-13T00:00:00.000,2020-01-31T00:00:00.000,50.0,WASHINGTON ST,,"REPAIR EXISTING GRANITE STAIRWAY ALONG CLARK ST, SCOPE TO INCLUDE REPLACING GRANITE, REPAIRING ANY DAMAGED WATERRPROOFING & REPLACING EXISTING DRAINS. NO CHANGE TO STAIR SIZE, LOCATION OR LAYOUT. TUCKPOINT (APPX 600 SF)",0.0,700.0,839100.0,42.0,1175835.578207632,1900857.8973923584,2020,1,31,0,1
612846,3099704,100858352,PERMIT - EASY PERMIT PROCESS,2020-01-14T00:00:00.000,2020-01-14T00:00:00.000,1436.0,BLACKHAWK ST,,REVISION TO PERMIT NO. 100841634; FOR ATL VODE APPROVAL TO USE SCH 40 PVC  FOR DRAINAGE AND VENT ABOVE AND BELOW GRADE,0.0,75.0,241600.0,2.0,1166401.5863846035,1909466.036386932,2020,1,14,0,1
612849,3099707,100858355,PERMIT - EASY PERMIT PROCESS,2020-01-14T00:00:00.000,2020-01-14T00:00:00.000,2222.0,PALMER ST,,REVISION TO PERMIT NO. 100823822; FOR ALT CODE APPROVAL TO USE SCH 40 PVC FOR DRAIN AND VENT ABOVE AND BELOW GRADE,0.0,75.0,221600.0,32.0,1161080.8324841966,1914843.775900832,2020,1,14,0,1
612850,3099711,100858356,PERMIT - EASY PERMIT PROCESS,2020-01-14T00:00:00.000,2020-01-14T00:00:00.000,4516.0,SEELEY AVE,,REVISION TO PERMIT NO. 100821326; FOR ALT CODE APPROVAL TO USE SCH 40 PVC FOR DRAIN AND VENT ABOVE AND BELOW GRADE,0.0,75.0,40900.0,47.0,1161715.356248471,1930077.2089277408,2020,1,14,0,1
