Unnamed: 0,id,permit_,permit_type,application_start_date,issue_date,street_number,street_name,work_type,work_description,subtotal_waived,total_fee,census_tract,ward,xcoordinate,ycoordinate,issue_year,issue_month,issue_day,is_solar,is_flood,is_green
302415,2459517,100484108,PERMIT - NEW CONSTRUCTION,2013-04-02T00:00:00.000,2013-04-02T00:00:00.000,123.0,DESPLAINES ST,,"ERECT NEW FOUNDATION, GROUND FLOOR AND 2 STORY PARKING GARAGE FOR A 19 NEW STORY APARTMENT BUILDING WITH GREEN ROOF",0.0,11161.72,280100.0,42.0,1171948.7132908388,1901040.3915683147,2013,04,02,0,0,1
302816,2460579,100484632,PERMIT - NEW CONSTRUCTION,2013-04-05T00:00:00.000,2013-04-05T00:00:00.000,5141.0,CHRISTIANA AVE,,"NEW CONSTRUCTION OF A 100,773 GSF LABORATORY AND CLASSROOM BUILDING COMPRISED OF 3-STORIES, FULL BASEMENT, MECHANICAL PENTHOUSE AND GREEN ROOF.",34262.82,35262.82,831800.0,39.0,1153152.80084991,1934132.9220926336,2013,04,05,0,0,1
303680,2462705,100485701,PERMIT - NEW CONSTRUCTION,2013-04-12T00:00:00.000,2013-04-12T00:00:00.000,3740.0,HALSTED ST,,NEW CONSTRUCTION:  15-STORY RESIDENTIAL APARTMENT BUILDING WITH BASEMENT; 269 UNITS AND 276 PARKING SPACES.LEED CERTIFIED; GREEN ROOF. FOUNDATION UNDER PERMIT 100468692,0.0,163099.4,61000.0,46.0,1170206.70736382,1925217.272562608,2013,04,12,0,0,1
303699,2462733,B100485720,PERMIT – EXPRESS PERMIT PROGRAM,2013-04-12T00:00:00.000,2013-05-01T00:00:00.000,555.0,TRIPP AVE,Electrical Work,CHICAGO CARTON PLANT 332-57458-08 LOW VOLTAGE ELECTRICAL PERMIT FOR LOW VOLTAGE  BA ALARM,0.0,50.0,231400.0,28.0,1147939.7746555596,1903549.8292942217,2013,05,01,0,0,1
304812,2465110,100487037,PERMIT - RENOVATION/ALTERATION,2013-08-02T00:00:00.000,2013-08-02T00:00:00.000,2816.0,KILBOURN AVE,,"THE UNILEVER ILLINOIS MANUFACTURING, LLC PLANT ON KILBOURN AVENUE PRODUCES, PACKAGES, AND DISTRIBUTES MAYONNAISE IN A VARIETY OF SIZES; FOR RETAIL AND COMMERCIAL SALE.  THE AREA OF WORK IS PROPOSED WITHIN AN EXISTING FACILITY COMPOSED OF CONNECTED ONE TO FOUR STORY BUILDINGS; INITIALLY ERECTED BETWEEN 1917 AND 1977.  THROUGH THE YEARS, A SIGNIFICANT AMOUNT OF INTERNAL MODIFICATION HAS BEEN IMPLEMENTED TO ADDRESS MARKET CHANGES, GENERAL MODERNIZATION, PRODUCTION EFFICIENCY, AND BASIC SAFETY REQUIREMENTS.  A MIX OF MASONRY, CONCRETE, AND STEEL COMPOSES THE EXISTING FACILITY STRUCTURE. AN AUTOMATED FIRE SUPPRESSION SYSTEM, IN ACCORDANCE WITH THE GOVERNING LOCAL CODES AND UNILEVER'S INSURER, IS INSTALLED THROUGHOUT. MAYONNAISE DISTRIBUTION FROM THE KILBOURN FACILITY HAS BEEN PROCEEDING VIA THE USE OF A ""CO-PACKER"".  THIS PROJECT INTENDS TO DISCONTINUE THE USE OF A ""CO-PACKER"", AND CONSOLIDATE THE OPERATION BY INSTALLING NEW PACKAGING EQUIPMENT ON-SITE.  AN EXISTING, INTERIOR RAILCAR PI",0.0,1818.76,301801.0,22.0,1146813.769335225,1884799.6305555704,2013,08,02,0,0,1
305375,2466406,100487765,PERMIT - NEW CONSTRUCTION,2013-09-16T00:00:00.000,2014-02-25T00:00:00.000,109.0,43RD ST,,"CONSTRUCTION OF A NEW 4 STORY - 15 D.U AND OFFICE BUILDING.TOTAL SQUARE FOOTAGE: 23,866 SQ. FT AS PER PLANS. ***** GREEN ROOF INCLUDED*********",0.0,11183.48,380700.0,3.0,1177996.4103290795,1876501.4299312052,2014,02,25,0,0,1
305691,2467150,100488206,PERMIT - EASY PERMIT PROCESS,2013-04-29T00:00:00.000,2013-04-30T00:00:00.000,1000.0,STATE ST,,"WORK ON THE FRONT & REAR PATIOS: REPLACE CONCRETE PATIOS, BRICK PLANTER, WATERPROOFING, PLANTERS DRAINS & PAVERS.",0.0,425.0,81100.0,42.0,1176142.0133710443,1907156.0855976865,2013,04,30,0,1,1
306372,2468532,100489059,PERMIT - RENOVATION/ALTERATION,2013-05-23T00:00:00.000,2013-06-01T00:00:00.000,10.0,RIVERSIDE PLZ,,"INTERIOR ALTERATIONS IN EXISTING OFFICE BUILDING TO THE OFFICE SPACE ON THE 9TH AND 10TH FLOORS FOR SINGLE TENANT ""PLANTE MORAN"", AS PER PLANS.",0.0,30573.78,281900.0,2.0,1173359.0747978694,1900233.5446894723,2013,06,01,0,0,1
307640,2471355,100490541,PERMIT - RENOVATION/ALTERATION,2013-07-11T00:00:00.000,2013-07-16T00:00:00.000,160.0,CHICAGO AVE,,"THE RENOVATION OF PART OF THE EXISTING FIRST FLOOR AND NEW GLASS CURTAIN WALL ENCLOSURE AT 160 WEST CHICAGO AVE. THIS WORK WILL INCLUDE DEMOLITION OF EXISTING NON-LOAD BEARING PARTITIONS; DOORS AND FRAMES; FLOOR, CEILING AND WALL FINISHES; ELECTRICAL AND MECHANICAL COMPONENT; PATCHING AND REPAIR OF EXISTING PARTITIONS. NEW WORK CONSISTS OF NEW DOORS; NEW GLASS CURTAIN WALL ENCLOSURE; NEW CONCRETE PLANTER AND LIMITED SITE WORK; NEW PARTITIONS; NEW CEILING, FLOOR AND WALL FINISHES. NEW ROOFTOP UNIT AND ELECTRICAL WORK PER PLANS.",0.0,990.0,81000.0,42.0,1174756.2132413597,1905729.0508203192,2013,07,16,0,0,1
307774,2471758,100490708,PERMIT - RENOVATION/ALTERATION,2013-06-21T00:00:00.000,2013-06-24T00:00:00.000,10.0,RIVERSIDE PLZ,,**SELF-CERTIFICATION** INTERIOR ALTERATIONS IN EXISTING OFFICE BUILDING TO THE OFFICE SPACE ON THE 1ST FLOOR TO INCLUDE NEW MEZZANINE FOR 'PLANTE MORAN' AS PER PLANS.  (SUBJECT TO AUDIT & FIELD INSPECTION),0.0,5692.19,281900.0,2.0,1173359.0747978694,1900233.5446894723,2013,06,24,0,0,1
