Unnamed: 0,id,permit_,permit_type,application_start_date,issue_date,street_number,street_name,work_type,work_description,subtotal_waived,total_fee,census_tract,ward,xcoordinate,ycoordinate,issue_year,issue_month,issue_day,is_solar,is_flood
68688,1810375,100179060,PERMIT - NEW CONSTRUCTION,2007-05-17T00:00:00.000,2007-07-25T00:00:00.000,3018.0,ARMITAGE AVE,,"REVISIONS TO PERMIT 100132986. SUBSTITUTE STRUCTURAL SYSTEM INCLUDING FOUNDATION, SUBSTITUTE HVAC SYSTEM, SUBSTITUTE SOLAR WARM WATER SYSTEM. PER PLANS.CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTION.",0.0,3322.0,,,1155724.687906877,1913172.3033331956,2007,7,25,1,0
69605,1812390,100180274,PERMIT - RENOVATION/ALTERATION,2007-05-24T00:00:00.000,2007-07-26T00:00:00.000,1401.0,DEVON AVE,,"RENOVATION TO BASEMENT LEVEL, WALK-IN COOLERS, REBUILD OF EGRESS STAIRS, NEW EGRESS STAIRS, ROOF TOP DECK, SOLAR THERMAL PANELS, MECHANICAL, PLUMBING, ELECTRICAL WORK PER PLANS INTERIOR AND EXTERIOR ALTERATIONS.",0.0,3550.5,,,1165764.4142446942,1942577.952568523,2007,7,26,1,0
82685,1843498,100197739,PERMIT - EASY PERMIT PROCESS,2007-08-31T00:00:00.000,2007-08-31T00:00:00.000,707.0,SHERIDAN RD,,"SOLAR COLLECTORS/PANELS NOT TO BE INSTALL UNDER THIS PERMIT. HOT WATER HEAT EXCHANGER, 3-STORAGE TANKS ,HOT WATER HEATER TO BE INSTALL WITH ALL ASSOCATED PIPING. ALL WORK SUBJECT TO FIELD INSPECTION.",0.0,110.0,,,1170613.7052831594,1926105.856638547,2007,8,31,1,0
84619,1847898,100200275,PERMIT - NEW CONSTRUCTION,2007-09-17T00:00:00.000,2007-09-17T00:00:00.000,1458.0,CANAL ST,,REVISION TO PERMIT 100118161 FOR ADDITION OF GREENHOUSES AND SOLAR THERMAL EQUIPMENT.,3647.15,3647.15,,,1173326.2988256093,1893048.5249812864,2007,9,17,1,0
89003,1857591,100206438,PERMIT - EASY PERMIT PROCESS,2007-10-16T00:00:00.000,2007-10-16T00:00:00.000,707.0,SHERIDAN RD,,INSTALL TWENTY (20) SOLAR HOT WATER PANELS ON ROOF OF EXISTING BUILDING AND CONNECT TO PLUMBING INSTALLED UNDER PERMIT 100197739.,0.0,160.0,,,1170613.7052831594,1926105.856638547,2007,10,16,1,0
101578,1889896,100223556,PERMIT - RENOVATION/ALTERATION,2008-02-19T00:00:00.000,2008-06-17T00:00:00.000,2507.0,EASTWOOD AVE,,ONE-STORY FRAME ADDITION WITH BASEMENT.  ADDITION WILL HAVE SOUTH FACING WINDOWS FOR PASSIVE SOLAR HEAT GAIN TO BE OPERABLE FOR NATURAL VENTILATION.  ADJACENT KITCHEN WILL BE RENOVATED WITH NEW CABINETS AND APPLIANCES AND REMAINDER OF FIRST FLOOR WILL HAVE INTERIOR PARTITION WORK.,0.0,350.0,407.0,47.0,1158772.4771581627,1930710.771229228,2008,6,17,1,0
102401,1892107,100224646,PERMIT - RENOVATION/ALTERATION,2008-04-07T00:00:00.000,2008-04-14T00:00:00.000,901.0,CARMEN AVE,,"INTERIOR ALTERATIONS, REVISIONS TO BATHROOMS, REPLACE ALL WINDOWS WITH SAME SIZE OR LARGER, REPLACE SIDING ON SOUTH (REAR) SIDE WITH STUCCO FINISH, ADD COMPLETE SOLAR THERMAL SYSTEM AS PER PLANS - INCLUDING ELECTRICAL, PLUMBING AND HVAC WORK (NO HVAC EQUIPMENT WITHIN PERMIT SCOPE)",0.0,2090.0,313.0,48.0,1169330.3115989433,1933931.853620472,2008,4,14,1,0
103325,1894638,100225855,PERMIT - RENOVATION/ALTERATION,2008-02-29T00:00:00.000,2008-03-07T00:00:00.000,4926.0,FAIRFIELD AVE,,"REMODELING TO THE BASEMENT, FIRST FLOOR, SECOND FLOOR AND ATTIC OF AN EXISTING SINGLE FAMILY RESIDENCE TO CREATE NEW ROOM LAYOUTS THROUGHOUT. ADDITION OF A SMALL MUDROOM ON THE FIRST FLOOR AND REPLACEMENT OF EXISTING DECK ON THE SIDE OF THE RESIDENCE. NEW ROOF DECK, NEW 200 AMP ELECTRICAL SERVICE WITH NEW HVAC EQUIPMENT INCLUDING TWO FURNACES AND TWO AIR CONDITIONING UNITS.  SOLAR PANELS ON THE ROOF FOR AUXILLARY ELECTRICAL. AS PER ARCHITECT'S PLANS",0.0,2774.5,,,1157078.827481524,1932860.41270602,2008,3,7,1,0
107925,1906667,100232103,PERMIT - RENOVATION/ALTERATION,2008-04-12T00:00:00.000,2008-06-03T00:00:00.000,4720.0,VIRGINIA AVE,,INTERIOR AND EXTERIOR ALTERATIONS AND NEW REAR 2 STORY ADDITION AND 3RD FLOOR ADDITION TO EXISTING 2 DU UNIT BUILDING AND TO DECONVERT FROM 2 DU TO SFR - PROJECT INCLUDES GEOTHERMAL WELLS AND SYSTEM AND SOLAR SYSTEM - GREEN PERMIT PROGRAM                                                                                                                    RESIDENTIAL SELF CERT - CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTION,0.0,1075.0,407.0,47.0,1156874.425947496,1931246.517440464,2008,6,3,1,0
110946,1923050,B100236205,PERMIT – EXPRESS PERMIT PROGRAM,2008-05-07T00:00:00.000,2008-05-07T00:00:00.000,1421.0,ELSTON AVE,Electrical Work,INSTALL SOLAR PANELS AND DISCONNECT OUTSIDE.  INSTALL INVERTER DISCONNECT IN EQUIPMENT ROOM.  INSTALL INVERTER FEED TO AC DISCONNECT INTO EXISTING SERVICE.,0.0,40.0,241700.0,27.0,1167485.5538924232,1909692.870588628,2008,5,7,1,0
