NAME,median_household_income,per_capita_income,population_below_poverty,poverty_universe,median_property_value,median_gross_rent,unemployed,labor_force,total_population,pop_white_alone,pop_black_alone,pop_aian_alone,pop_asian_alone,pop_nhpi_alone,pop_other_alone,pop_two_or_more_races,pop_hispanic_latino,education_universe,edu_high_school_diploma,edu_ged,edu_some_college_lt1yr,edu_some_college_gt1yr,edu_associates,edu_bachelors,edu_masters,edu_professional,edu_doctorate,state,county,tract,GEOID,poverty_rate,unemployment_rate,pct_white,pct_black,pct_asian,pct_hispanic,pct_bachelors_plus,pct_no_hs
Census Tract 902; Cook County; Illinois,127384,65532,395,6618,461100,1543,88,3815,6618,5236,60,0,87,0,467,768,947,4619,624,0,338,425,282,1782,807,23,178,17,031,090200,17031090200,0.05968570565125415,0.023066841415465267,0.7911755817467513,0.009066183136899365,0.01314596554850408,0.14309459051072831,0.6040268456375839,0.03463953236631301
Census Tract 903; Cook County; Illinois,116438,64116,131,1349,502400,1313,35,756,1373,1110,0,0,0,0,227,36,279,1039,223,39,21,77,53,498,85,35,0,17,031,090300,17031090300,0.09710896960711639,0.046296296296296294,0.8084486525855791,0.0,0.0,0.20320466132556445,0.5948026948989413,0.007699711260827691
Census Tract 1001; Cook County; Illinois,114536,48385,548,5850,464000,1486,100,3371,5850,4121,1,18,468,0,384,858,981,4097,424,177,255,799,228,1142,679,118,141,17,031,100100,17031100100,0.09367521367521367,0.029664787896766538,0.7044444444444444,0.00017094017094017094,0.08,0.1676923076923077,0.507688552599463,0.032706858677080786
Census Tract 1002; Cook County; Illinois,94167,45673,275,7553,413900,1662,208,4062,7742,5239,37,14,210,0,555,1687,2167,5092,1185,155,151,604,506,1512,633,113,36,17,031,100200,17031100200,0.036409373758771346,0.05120630231413097,0.6766985275122708,0.004779126840609662,0.027124773960216998,0.2799018341513821,0.4505106048703849,0.03868813825608797
Census Tract 1003; Cook County; Illinois,95441,50460,518,6266,436000,2115,14,2727,6495,5738,44,22,294,0,289,108,509,4734,893,69,102,717,202,1342,791,96,162,17,031,100300,17031100300,0.08266836897542292,0.005133846718005134,0.8834488067744419,0.0067744418783679755,0.045265588914549654,0.07836797536566589,0.5050697084917617,0.07604562737642584
Census Tract 1004; Cook County; Illinois,142123,59883,72,3350,426700,-666666666,78,1805,3350,2535,3,26,370,0,77,339,561,2376,362,53,249,191,124,661,484,28,95,17,031,100400,17031100400,0.021492537313432834,0.043213296398891966,0.7567164179104477,0.0008955223880597015,0.11044776119402985,0.16746268656716418,0.5336700336700336,0.05429292929292928
Census Tract 1005; Cook County; Illinois,128688,68694,67,5952,360400,1577,134,3259,5952,4393,55,0,505,33,338,628,820,4562,1050,88,225,288,251,1306,857,158,35,17,031,100500,17031100500,0.011256720430107527,0.04111690702669531,0.7380712365591398,0.009240591397849463,0.08484543010752688,0.13776881720430106,0.5164401578255151,0.06663743971942127
Census Tract 1006; Cook County; Illinois,78689,41214,383,4806,360800,1225,118,2455,4806,3336,87,71,243,0,228,841,1297,3196,809,79,117,330,188,838,367,143,12,17,031,100600,17031100600,0.07969205160216396,0.04806517311608961,0.6941323345817728,0.018102372034956304,0.05056179775280899,0.2698709945900957,0.425531914893617,0.09793491864831039
Census Tract 1007; Cook County; Illinois,134767,48294,351,5335,405600,-666666666,246,2885,5335,3693,155,0,695,0,479,313,785,3776,926,70,197,385,358,936,433,63,44,17,031,100700,17031100700,0.06579194001874414,0.08526863084922011,0.6922211808809747,0.029053420805998126,0.1302717900656045,0.1471415182755389,0.3908898305084746,0.09639830508474578
Census Tract 1101; Cook County; Illinois,97743,49168,389,5353,428200,1457,109,3359,5401,2747,130,331,1250,0,302,641,1218,4329,471,65,240,370,293,1179,697,387,174,17,031,110100,17031110100,0.0726695311040538,0.03245013396844299,0.5086095167561563,0.024069616737641176,0.23143862247731903,0.22551379374189964,0.562947562947563,0.10464310464310467
Census Tract 1102; Cook County; Illinois,76563,43226,240,2856,415600,1187,254,1780,2871,1690,245,0,240,0,226,470,1004,2328,578,77,218,432,104,463,192,27,0,17,031,110200,17031110200,0.08403361344537816,0.14269662921348314,0.588645071403692,0.08533611981887844,0.08359456635318704,0.3497039359108325,0.2929553264604811,0.10180412371134018
Census Tract 1103; Cook County; Illinois,119750,45408,130,5183,398200,1642,151,2827,5183,3093,12,124,468,0,1041,445,1584,3633,875,127,114,597,408,802,492,17,56,17,031,110300,17031110300,0.025081998842369283,0.05341351255748143,0.5967586339957553,0.0023152614316033185,0.09029519583252943,0.30561450897163805,0.3762730525736306,0.03991191852463527
Census Tract 1104; Cook County; Illinois,92315,57810,134,4646,377400,1357,58,2963,4658,2953,73,46,511,0,412,663,980,3665,643,137,73,463,219,1230,464,99,12,17,031,110400,17031110400,0.028842014636246232,0.019574755315558554,0.6339630742808072,0.01567196221554315,0.10970373550880207,0.210390725633319,0.4924965893587995,0.08867667121418832
Census Tract 1105.01; Cook County; Illinois,105568,48887,247,4988,408900,1555,72,2792,5017,2897,282,21,402,0,191,1224,1746,3829,790,63,369,312,559,1064,403,35,70,17,031,110501,17031110501,0.04951884522854852,0.025787965616045846,0.5774367151684273,0.0562088897747658,0.08012756627466613,0.3480167430735499,0.4105510577174197,0.042831026377644243
Census Tract 1105.02; Cook County; Illinois,71992,52818,355,3519,345500,1353,160,1866,3519,2419,47,0,388,0,402,263,643,2595,593,84,17,251,150,770,380,31,74,17,031,110502,17031110502,0.10088093208297812,0.0857449088960343,0.6874111963626031,0.013356067064506962,0.11025859619210003,0.18272236430804206,0.4836223506743738,0.09441233140655103
Census Tract 1201; Cook County; Illinois,163007,72249,107,4256,581300,2250,159,2017,4284,3569,18,0,320,0,61,316,317,3072,221,55,79,285,202,990,978,124,85,17,031,120100,17031120100,0.025140977443609023,0.07882994546355974,0.8330999066293184,0.004201680672268907,0.07469654528478058,0.07399626517273576,0.7086588541666666,0.01725260416666663
Census Tract 1202; Cook County; Illinois,141458,65305,186,4600,587100,1408,43,2279,4600,3444,51,0,606,0,250,249,326,3271,271,99,121,246,169,1185,644,288,146,17,031,120200,17031120200,0.04043478260869565,0.018867924528301886,0.7486956521739131,0.01108695652173913,0.1317391304347826,0.07086956521739131,0.6918373586059309,0.03118312442678084
Census Tract 1203; Cook County; Illinois,139338,86015,358,6998,520100,1402,61,3544,7025,5259,22,0,992,0,135,617,490,4724,590,60,186,200,138,1755,1059,433,127,17,031,120300,17031120300,0.05115747356387539,0.017212189616252822,0.7486120996441281,0.003131672597864769,0.1412099644128114,0.06975088967971531,0.714225232853514,0.03725656223539375
Census Tract 1204; Cook County; Illinois,108145,47856,307,3992,415700,1586,162,2389,3992,1908,200,0,692,0,665,527,1012,2709,606,170,162,275,134,734,276,110,56,17,031,120400,17031120400,0.07690380761523045,0.06781079949769778,0.4779559118236473,0.050100200400801605,0.17334669338677355,0.2535070140280561,0.43410852713178294,0.06866002214839428
Census Tract 1301; Cook County; Illinois,34565,30026,1058,5182,475000,431,62,1360,5418,4088,247,0,892,0,138,53,15,3509,677,123,88,453,271,1095,491,96,14,17,031,130100,17031130100,0.20416827479737554,0.045588235294117645,0.7545219638242894,0.04558877814691768,0.16463639719453674,0.0027685492801771874,0.48332858364206327,0.05728127671701344
Census Tract 1302; Cook County; Illinois,120625,68142,212,1394,352500,1245,0,496,1394,717,0,6,115,0,312,244,569,1069,184,30,42,60,95,200,322,52,33,17,031,130200,17031130200,0.15208034433285508,0.0,0.5143472022955524,0.0,0.0824964131994261,0.4081779053084649,0.567820392890552,0.04770813844714683
Census Tract 1303; Cook County; Illinois,67833,36259,532,4944,431200,1367,141,2950,4944,1466,152,112,1926,0,293,995,1250,3733,609,0,279,495,240,1018,488,62,64,17,031,130300,17031130300,0.1076051779935275,0.04779661016949153,0.2965210355987055,0.030744336569579287,0.3895631067961165,0.25283171521035597,0.43718189124028933,0.1280471470667024
Census Tract 1401; Cook County; Illinois,78686,33070,236,3610,331900,1543,46,2231,3610,1477,91,297,239,0,760,746,1700,2161,463,74,61,150,98,803,150,10,36,17,031,140100,17031140100,0.06537396121883657,0.020618556701030927,0.40914127423822716,0.025207756232686982,0.06620498614958449,0.4709141274238227,0.46228597871355853,0.1462285978713559
Census Tract 1402; Cook County; Illinois,75067,31486,763,5036,291200,1356,282,3347,6048,2119,557,49,1341,6,993,983,1923,3659,527,40,113,316,224,1096,548,48,68,17,031,140200,17031140200,0.15150913423351867,0.08425455631909172,0.3503637566137566,0.09209656084656084,0.22172619047619047,0.3179563492063492,0.4810057392730254,0.1855698278218092
Census Tract 1403.01; Cook County; Illinois,75616,28398,647,2694,407600,1362,121,1578,2715,371,122,50,557,0,447,1168,1545,1929,403,47,23,146,87,303,134,6,17,17,031,140301,17031140301,0.24016332590942835,0.07667934093789606,0.13664825046040516,0.044935543278084716,0.20515653775322285,0.569060773480663,0.23846552617936756,0.3955417314670814
Census Tract 1403.02; Cook County; Illinois,97574,48321,191,3064,413100,1264,155,2078,3407,1374,272,74,429,0,450,808,1267,2764,477,101,100,291,86,669,426,20,39,17,031,140302,17031140302,0.06233681462140992,0.07459095283926853,0.40328734957440565,0.07983563252127972,0.12591722923393014,0.3718814206046375,0.41751085383502173,0.20079594790159194
Census Tract 1404; Cook County; Illinois,110306,50439,708,5850,430900,1185,155,2813,5850,2810,77,44,1543,0,715,661,1806,4453,652,131,201,653,256,1273,604,132,0,17,031,140400,17031140400,0.12102564102564102,0.055101315321720586,0.48034188034188036,0.013162393162393163,0.26376068376068373,0.3087179487179487,0.45115652369189313,0.1237368066472041
Census Tract 1405; Cook County; Illinois,73889,45611,189,3288,403400,1196,61,2067,3315,1201,96,45,432,0,1028,513,1412,2522,689,76,101,236,339,508,159,28,14,17,031,140500,17031140500,0.05748175182481752,0.029511369134010642,0.36229260935143287,0.02895927601809955,0.13031674208144797,0.42594268476621416,0.2811260904044409,0.14750198255352898
Census Tract 1406.01; Cook County; Illinois,85375,40447,257,2467,415600,1326,93,1406,2468,725,122,19,316,0,309,977,1282,1700,278,79,84,156,29,402,157,14,5,17,031,140601,17031140601,0.10417511147142278,0.06614509246088193,0.29376012965964343,0.04943273905996758,0.1280388978930308,0.5194489465153971,0.34,0.2917647058823529
Census Tract 1406.02; Cook County; Illinois,62033,32627,973,4181,401200,1614,329,2568,4211,1106,163,312,447,0,1263,920,2660,2932,623,48,257,247,64,843,278,89,42,17,031,140602,17031140602,0.23271944510882564,0.1281152647975078,0.2626454523866065,0.03870814533364996,0.106150558062218,0.6316789361196865,0.42701227830832195,0.15040927694406547
Census Tract 1407.01; Cook County; Illinois,97500,37719,436,2870,352400,1451,47,2043,2870,713,99,56,673,0,161,1168,1315,1885,451,7,69,138,51,405,262,8,30,17,031,140701,17031140701,0.15191637630662022,0.023005384238864415,0.2484320557491289,0.03449477351916376,0.23449477351916376,0.45818815331010454,0.3740053050397878,0.24615384615384617
Census Tract 1407.02; Cook County; Illinois,76392,49692,321,5120,411000,1434,134,3418,5120,1609,132,433,289,0,1181,1476,3399,3656,452,40,123,331,217,1078,358,30,92,17,031,140702,17031140702,0.0626953125,0.03920421299005266,0.3142578125,0.02578125,0.0564453125,0.6638671875,0.4261487964989059,0.25574398249452956
Census Tract 1408; Cook County; Illinois,108958,60475,543,5924,504400,1601,488,4270,5924,4003,44,0,603,0,573,701,1261,4354,329,71,198,529,167,1648,706,283,196,17,031,140800,17031140800,0.09166103983794734,0.11428571428571428,0.675725860904794,0.007427413909520594,0.10178933153274815,0.21286293045239704,0.6506660542030317,0.05213596692696376
Census Tract 1502; Cook County; Illinois,105145,50271,692,7406,417900,1337,176,4079,7406,3808,390,17,654,0,1156,1381,2237,5499,790,144,173,671,307,2012,647,46,76,17,031,150200,17031150200,0.09343775317310289,0.04314783035057612,0.5141776937618148,0.052660005401026194,0.0883067782878747,0.3020523899540913,0.5057283142389526,0.11511183851609386
Census Tract 1503; Cook County; Illinois,89097,55673,524,7114,338200,1351,220,4628,7180,5017,82,23,304,26,987,741,1764,5231,900,282,195,550,344,1526,696,86,148,17,031,150300,17031150300,0.0736575766095024,0.04753673292999136,0.6987465181058495,0.011420612813370474,0.04233983286908078,0.2456824512534819,0.46950869814567003,0.09634869049894856
Census Tract 1504.01; Cook County; Illinois,86563,36336,974,5310,374600,1415,200,2841,5310,3080,45,71,694,0,610,810,1532,3422,795,59,200,392,144,994,249,129,40,17,031,150401,17031150401,0.18342749529190208,0.0703977472720873,0.5800376647834274,0.00847457627118644,0.13069679849340865,0.2885122410546139,0.4126241963763881,0.12273524254821744
Census Tract 1504.02; Cook County; Illinois,103939,42414,230,3923,400900,1375,45,2174,3923,2228,222,136,192,0,345,800,1488,2754,615,115,200,334,211,781,148,57,15,17,031,150402,17031150402,0.05862860056079531,0.020699172033118676,0.5679327045628345,0.056589344889115475,0.04894213612031609,0.37930155493244966,0.3634713144517066,0.10094408133623822
Census Tract 1505.01; Cook County; Illinois,126471,52414,240,3935,379300,1475,122,2343,3935,2355,11,0,525,0,582,462,808,2862,429,43,70,302,272,1237,286,77,53,17,031,150501,17031150501,0.060991105463786534,0.052069995731967564,0.5984752223634053,0.0027954256670902162,0.13341804320203304,0.20533672172808132,0.5775681341719078,0.032494758909853205
Census Tract 1505.02; Cook County; Illinois,79659,35627,411,4460,388600,1385,67,2443,4460,2067,36,69,414,0,1129,745,1902,2949,571,79,155,580,226,663,238,78,24,17,031,150502,17031150502,0.092152466367713,0.02742529676627098,0.4634529147982063,0.008071748878923767,0.09282511210762331,0.426457399103139,0.3401152933197694,0.1135978297728043
Census Tract 1506; Cook County; Illinois,102399,50935,413,4036,442300,1486,99,2268,4036,1852,56,3,289,0,1004,832,1920,2830,478,77,171,575,329,703,262,24,55,17,031,150600,17031150600,0.10232903865213082,0.04365079365079365,0.4588701684836472,0.013875123885034688,0.07160555004955402,0.4757185332011893,0.36890459363957595,0.055123674911660814
Census Tract 1507; Cook County; Illinois,132361,46735,250,3840,394400,1243,78,2123,3915,1854,154,14,190,0,640,1063,1854,2629,286,48,139,502,171,913,243,29,35,17,031,150700,17031150700,0.06510416666666667,0.036740461610927935,0.4735632183908046,0.03933588761174968,0.04853128991060025,0.4735632183908046,0.46405477367820464,0.10003803727653104
Census Tract 1508; Cook County; Illinois,92443,40607,392,4652,352700,1377,264,2825,4652,1779,116,113,152,0,1186,1306,2398,3428,563,45,228,383,285,632,342,59,83,17,031,150800,17031150800,0.08426483233018056,0.09345132743362831,0.38241616509028376,0.024935511607910577,0.03267411865864144,0.5154772141014617,0.32555425904317387,0.235705950991832
Census Tract 1510.01; Cook County; Illinois,94435,34211,357,2587,377700,1459,81,1364,2616,1021,23,311,57,0,714,490,1730,1818,402,78,142,235,222,288,57,44,5,17,031,151001,17031151001,0.13799768071124854,0.0593841642228739,0.3902905198776758,0.008792048929663608,0.021788990825688075,0.6613149847094801,0.21672167216721672,0.1897689768976898
Census Tract 1510.02; Cook County; Illinois,75875,35651,801,4473,364700,1246,177,2696,4473,1222,109,5,73,0,1414,1650,3124,3239,1020,113,225,498,125,623,210,61,0,17,031,151002,17031151002,0.1790744466800805,0.06565281899109793,0.2731947238989493,0.024368432819137045,0.01632014308070646,0.6984126984126984,0.27601111454152516,0.11238036430997222
Census Tract 1511; Cook County; Illinois,62717,32257,931,5371,408700,1268,193,2857,5408,2453,325,196,159,0,1376,899,2687,3654,952,188,249,367,205,771,283,24,11,17,031,151100,17031151100,0.17333829826847888,0.06755337766888345,0.4535872781065089,0.06009615384615385,0.029400887573964498,0.4968565088757396,0.29802955665024633,0.1652983032293377
Census Tract 1512; Cook County; Illinois,69776,32208,299,3416,369000,1363,30,1840,3447,2363,15,14,55,0,551,449,1296,2675,832,197,304,308,162,374,191,66,0,17,031,151200,17031151200,0.08752927400468384,0.016304347826086956,0.6855236437481869,0.004351610095735422,0.015955903684363216,0.37597911227154046,0.23588785046728972,0.0900934579439252
Census Tract 1601; Cook County; Illinois,111250,51086,123,2614,380700,1579,17,1517,2614,1618,0,7,432,0,61,496,695,1786,243,49,101,177,140,655,231,76,12,17,031,160100,17031160100,0.047054322876817135,0.01120632827949901,0.6189747513389442,0.0,0.16526396327467482,0.265876052027544,0.5453527435610303,0.0571108622620381
Census Tract 1602; Cook County; Illinois,132599,77861,288,3335,577900,1582,28,1936,3363,2435,135,0,142,0,110,541,394,2385,162,30,175,254,134,1069,267,235,36,17,031,160200,17031160200,0.0863568215892054,0.014462809917355372,0.7240559024680345,0.04014272970561998,0.04222420457924472,0.11715730002973536,0.6737945492662474,0.009643605870021
Census Tract 1603; Cook County; Illinois,68887,53476,533,3506,256800,1209,233,2299,3567,1729,203,29,594,0,407,605,691,2880,377,25,143,195,256,1026,496,30,57,17,031,160300,17031160300,0.1520250998288648,0.10134841235319704,0.4847210541070928,0.056910569105691054,0.1665264928511354,0.19372021306419962,0.5586805555555555,0.09548611111111116
Census Tract 1604; Cook County; Illinois,81375,63382,987,5419,622000,1256,218,3425,5419,2685,310,24,524,0,1011,865,1938,3838,769,126,139,258,192,1220,627,88,37,17,031,160400,17031160400,0.18213692563203543,0.06364963503649634,0.4954788706403395,0.057206126591622074,0.0966968075290644,0.35763055914375347,0.5138092756644086,0.09953100573215212
Census Tract 1605.01; Cook County; Illinois,80179,43237,307,3524,400000,1387,170,2169,3524,1253,343,0,196,0,1060,672,1871,2608,277,146,148,219,80,838,336,26,30,17,031,160501,17031160501,0.08711691259931896,0.07837713231904103,0.3555618615209989,0.09733257661748014,0.05561861520998865,0.5309307604994324,0.47162576687116564,0.19478527607361962
Census Tract 1605.02; Cook County; Illinois,114719,49371,378,4133,442200,1411,221,2454,4227,2350,205,26,526,0,503,617,1766,2938,577,211,230,136,179,686,437,65,106,17,031,160502,17031160502,0.09145898862811518,0.09005704971475142,0.5559498462266382,0.04849775254317483,0.12443813579370712,0.4177903950792524,0.4404356705241661,0.10585432266848194
Census Tract 1606.01; Cook County; Illinois,75536,51795,131,3049,369000,1560,149,2145,3049,1817,39,60,123,0,566,444,1025,2352,348,5,88,330,84,814,464,113,11,17,031,160601,17031160601,0.04296490652673007,0.06946386946386947,0.5959330928173171,0.012791079042308954,0.04034109544112824,0.33617579534273534,0.5960884353741497,0.040391156462585065
Census Tract 1606.02; Cook County; Illinois,99531,68652,448,3418,408600,1422,82,2120,3418,1832,32,42,286,98,726,402,1204,2499,361,48,118,189,42,1182,354,67,34,17,031,160602,17031160602,0.13107080163838503,0.038679245283018866,0.5359859566998244,0.009362200117027502,0.0836746635459333,0.35225277940315974,0.6550620248099239,0.04161664665866349
Census Tract 1607; Cook County; Illinois,93750,52398,489,5918,579500,1376,247,3639,6093,2821,304,345,786,51,951,835,2570,4591,776,225,276,582,305,1118,474,112,36,17,031,160700,17031160700,0.08262926664413653,0.06787579005221214,0.4629903167569342,0.049893320203512226,0.12900049236829148,0.4217955030362711,0.37900239599215857,0.14964060117621436
Census Tract 1608; Cook County; Illinois,87676,46826,263,4636,543800,1570,259,2660,4677,1882,13,147,293,0,807,1535,2488,3317,481,93,354,168,94,1048,417,87,23,17,031,160800,17031160800,0.05672993960310613,0.09736842105263158,0.40239469745563394,0.0027795595467179817,0.06264699593756681,0.5319649347872568,0.4748266505878806,0.1664154356346096
Census Tract 1609; Cook County; Illinois,109598,54962,148,2484,478900,1215,95,1404,2496,1269,210,0,429,0,243,345,599,1767,163,63,58,179,186,562,379,47,59,17,031,160900,17031160900,0.05958132045088567,0.06766381766381767,0.5084134615384616,0.08413461538461539,0.171875,0.23998397435897437,0.5925297113752123,0.04018109790605551
Census Tract 1610; Cook County; Illinois,109524,68347,174,2059,605600,1709,101,1342,2060,1638,2,22,99,0,185,114,469,1586,189,21,87,181,117,552,239,98,67,17,031,161000,17031161000,0.08450704225352113,0.07526080476900149,0.7951456310679612,0.000970873786407767,0.048058252427184464,0.22766990291262135,0.6027742749054225,0.022068095838587598
Census Tract 1611; Cook County; Illinois,149722,81810,135,2088,633200,1716,89,1337,2098,1450,203,0,89,0,56,300,395,1440,257,19,105,66,39,433,268,121,51,17,031,161100,17031161100,0.06465517241379311,0.06656694091249066,0.6911344137273594,0.09675881792183032,0.04242135367016206,0.1882745471877979,0.60625,0.05625000000000002
Census Tract 1612; Cook County; Illinois,80132,42577,716,2837,435500,1377,68,1529,2837,1096,150,53,171,0,747,620,1662,1992,303,179,110,265,53,459,177,45,97,17,031,161200,17031161200,0.25237927388086007,0.04447351209941138,0.386323581247797,0.05287275290800141,0.06027493831512161,0.5858301022206556,0.39056224899598396,0.15261044176706828
Census Tract 1613; Cook County; Illinois,59353,38308,574,3850,443600,1254,146,2264,3890,1717,98,29,109,0,883,1054,2171,2671,446,208,257,147,148,983,263,25,0,17,031,161300,17031161300,0.14909090909090908,0.06448763250883392,0.44138817480719794,0.02519280205655527,0.028020565552699227,0.5580976863753213,0.47585174092100335,0.07263197304380387
Census Tract 1701; Cook County; Illinois,51944,41258,538,1931,263600,2250,12,865,2085,1660,141,10,132,5,50,87,190,1898,507,73,195,146,183,388,79,10,37,17,031,170100,17031170100,0.27861211807353703,0.013872832369942197,0.7961630695443646,0.06762589928057554,0.06330935251798561,0.09112709832134293,0.2708113804004215,0.14752370916754476
Census Tract 1702; Cook County; Illinois,110602,40314,172,3553,332600,1430,22,1926,3553,1865,27,9,131,0,1026,495,1764,2428,643,84,106,311,98,651,343,36,1,17,031,170200,17031170200,0.0484097945398255,0.01142263759086189,0.5249085280045033,0.007599211933577259,0.036870250492541515,0.49648184632704756,0.42462932454695224,0.06383855024711693
Census Tract 1703; Cook County; Illinois,82203,45799,207,4792,357900,1411,94,2413,4794,2664,0,0,266,0,1079,785,1826,3411,870,151,274,430,278,561,387,29,5,17,031,170300,17031170300,0.043196994991652755,0.03895565685868214,0.5556946182728411,0.0,0.05548602419691281,0.3808927826449729,0.2878921137496335,0.12489006156552329
Census Tract 1704; Cook County; Illinois,110800,48442,214,4061,343500,1188,150,2411,4074,2934,194,80,106,0,499,261,1085,2951,541,184,230,455,219,455,371,50,74,17,031,170400,17031170400,0.05269638020192071,0.06221484861053505,0.7201767304860088,0.047619047619047616,0.026018654884634267,0.2663230240549828,0.32192477126397834,0.1260589630633684
Census Tract 1705; Cook County; Illinois,85250,46947,96,4899,350100,1478,138,2642,4899,3299,109,20,187,0,299,985,1342,3541,926,156,132,515,549,712,222,23,27,17,031,170500,17031170500,0.019595835884874464,0.052233156699470096,0.6734027352520923,0.022249438660951214,0.03817105531741172,0.2739334558073076,0.2778876023722112,0.07879130189212091
Census Tract 1706; Cook County; Illinois,81004,42681,334,2500,338900,1488,97,1193,2500,1678,68,15,232,1,325,181,629,1757,433,132,216,224,171,342,68,11,7,17,031,170600,17031170600,0.1336,0.08130762782900251,0.6712,0.0272,0.0928,0.2516,0.2435970404097894,0.08708025042686396
Census Tract 1707; Cook County; Illinois,90611,33767,112,3323,412400,1352,61,1779,3323,1766,133,45,70,0,434,875,1375,2423,931,70,272,227,126,293,117,58,14,17,031,170700,17031170700,0.03370448390009028,0.034288926363125354,0.5314474872103521,0.04002407463135721,0.021065302437556426,0.4137827264520012,0.19892695006190672,0.13000412711514653
Census Tract 1708; Cook County; Illinois,80446,42720,508,4076,353500,1184,195,2321,4097,2419,308,58,204,6,576,526,1492,3005,796,99,251,456,231,473,251,30,0,17,031,170800,17031170800,0.12463199214916584,0.08401551055579491,0.5904320234317794,0.0751769587503051,0.04979253112033195,0.36416890407615327,0.2509151414309484,0.1391014975041598
Census Tract 1709; Cook County; Illinois,64202,41054,468,1854,299400,1552,202,1207,1854,708,82,20,16,0,398,630,1122,1317,480,140,72,116,88,192,106,15,2,17,031,170900,17031170900,0.2524271844660194,0.16735708367854185,0.3818770226537217,0.04422869471413161,0.008629989212513484,0.6051779935275081,0.23917995444191345,0.08048595292331051
Census Tract 1710; Cook County; Illinois,86597,46073,637,6178,373500,993,263,3624,6178,3070,63,59,929,0,906,1151,2341,4804,1243,155,821,580,360,985,364,12,0,17,031,171000,17031171000,0.1031078018776303,0.07257174392935982,0.496924571058595,0.010197474910974426,0.15037228876659112,0.37892521851731953,0.2833055786844296,0.05911740216486261
Census Tract 1711; Cook County; Illinois,95781,36371,450,3876,353400,1409,24,2155,3876,2038,168,74,274,0,460,862,1968,2801,696,159,87,508,224,323,78,25,18,17,031,171100,17031171100,0.11609907120743033,0.011136890951276101,0.5257997936016512,0.043343653250773995,0.07069143446852426,0.5077399380804953,0.1585148161370939,0.24384148518386295
Census Tract 1801; Cook County; Illinois,86632,35158,999,6897,345800,1531,127,3635,7040,2966,437,86,191,0,2057,1303,3874,4872,1288,179,325,616,470,949,332,0,71,17,031,180100,17031180100,0.1448455850369726,0.03493810178817056,0.4213068181818182,0.062073863636363635,0.027130681818181818,0.5502840909090909,0.277504105090312,0.13177339901477836
Census Tract 1901; Cook County; Illinois,56713,28979,172,2423,347600,1067,137,1471,2423,312,51,151,98,0,935,876,2032,1660,264,129,199,89,116,244,63,105,5,17,031,190100,17031190100,0.0709863805200165,0.09313392250169952,0.12876599257119273,0.021048287247214196,0.04044572843582336,0.8386297977713578,0.2512048192771084,0.2686746987951807
Census Tract 1902; Cook County; Illinois,80380,28821,794,5648,358100,1370,248,3007,5766,1675,368,84,140,0,2053,1446,4431,3735,1078,234,151,362,215,647,194,38,0,17,031,190200,17031190200,0.14058073654390935,0.08247422680412371,0.2904960110995491,0.0638224072147069,0.02428026361429067,0.7684703433922997,0.2353413654618474,0.21847389558232932
Census Tract 1903; Cook County; Illinois,78750,30229,1006,5728,350200,1142,146,2959,5728,1836,258,0,211,0,1779,1644,4131,4062,976,247,225,498,222,529,211,60,55,17,031,190300,17031190300,0.17562849162011174,0.04934099357891179,0.32053072625698326,0.04504189944134078,0.03683659217877095,0.7211941340782123,0.21048744460856722,0.2557853274249139
Census Tract 1904.01; Cook County; Illinois,115000,40568,357,3837,394700,1175,134,2460,3855,833,243,102,380,0,1544,753,2482,2833,561,118,223,274,326,421,107,49,149,17,031,190401,17031190401,0.09304143862392494,0.05447154471544716,0.21608300907911804,0.06303501945525292,0.09857328145265888,0.6438391699092089,0.25626544299329335,0.21355453582774442
Census Tract 1904.02; Cook County; Illinois,63140,30703,513,4580,317600,1229,126,2465,4580,1484,12,76,267,23,1662,1056,3147,3270,614,165,276,298,170,468,141,4,17,17,031,190402,17031190402,0.11200873362445415,0.051115618661257606,0.3240174672489083,0.0026200873362445414,0.05829694323144105,0.6871179039301311,0.1926605504587156,0.3415902140672783
Census Tract 1906.01; Cook County; Illinois,77316,26622,461,3753,321500,1030,179,2123,3788,607,46,0,91,0,1634,1410,3251,2730,511,81,201,327,188,196,163,20,0,17,031,190601,17031190601,0.12283506528110845,0.08431464908148846,0.1602428722280887,0.012143611404435059,0.02402323125659979,0.8582365364308342,0.13882783882783883,0.382051282051282
Census Tract 1906.02; Cook County; Illinois,82232,23325,884,5483,296700,1335,131,2455,5745,1365,115,36,11,0,2750,1468,4602,3620,1247,201,132,213,321,541,77,67,0,17,031,190602,17031190602,0.16122560641984315,0.05336048879837067,0.23759791122715404,0.020017406440382943,0.0019147084421235858,0.8010443864229765,0.18922651933701656,0.22679558011049727
Census Tract 1907.01; Cook County; Illinois,68810,25382,155,2684,333000,1265,31,1292,2684,682,33,0,10,0,1247,712,1842,1653,524,82,55,184,110,161,221,43,0,17,031,190701,17031190701,0.05774962742175857,0.023993808049535603,0.2540983606557377,0.012295081967213115,0.0037257824143070045,0.6862891207153502,0.2571082879612825,0.16515426497277674
Census Tract 1907.02; Cook County; Illinois,62813,23213,1253,4392,335500,1223,202,2248,4392,678,567,61,0,0,2229,857,3324,2951,818,89,160,223,106,296,68,41,0,17,031,190702,17031190702,0.28529143897996356,0.0898576512455516,0.15437158469945356,0.1290983606557377,0.0,0.7568306010928961,0.13724161301253812,0.38969840731955274
